Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
24 Jun,0.6,0.4,0.4,0.6,29.3,32.6,25.1,6.7,29.9
25 Jun,0.0,0.0,0.0,0.0,28.1,31.0,24.0,8.3,33.1
26 Jun,0.0,0.0,0.0,0.0,29.0,31.5,27.8,8.9,36.7
27 Jun,0.0,0.0,0.0,0.0,27.2,28.7,24.8,8.5,41.8
28 Jun,0.0,0.0,0.0,0.0,28.4,31.3,26.9,6.8,22.7
29 Jun,0.0,0.0,0.0,0.0,28.8,31.9,25.4,6.1,31.3
30 Jun,22.4,12.2,15.0,19.2,26.9,29.1,23.9,7.1,40.0
1 May,0.0,0.0,0.0,0.0,28.0,30.7,24.4,6.2,29.9
2 May,0.0,0.0,0.0,0.0,29.4,32.2,27.5,6.8,27.4
3 May,0.0,0.0,0.0,0.0,29.4,33.4,28.1,9.1,36.4
4 May,0.0,0.0,0.0,0.0,29.4,33.0,27.6,6.9,34.2
5 May,0.4,0.4,0.4,0.4,29.2,32.6,27.0,8.4,40.7
6 May,0.0,0.0,0.0,0.0,29.3,32.9,27.4,7.7,33.5
7 May,30.2,27.0,28.6,29.8,27.9,33.1,24.6,4.5,34.9
8 May,0.2,0.2,0.2,0.2,27.4,30.5,25.0,4.3,30.6
9 May,0.4,0.4,0.4,0.4,28.7,32.2,26.7,5.8,22.7
10 May,0.0,0.0,0.0,0.0,29.7,32.6,28.0,7.8,27.0
11 May,0.0,0.0,0.0,0.0,29.0,33.1,26.7,4.8,28.4
12 May,0.0,0.0,0.0,0.0,28.3,30.8,27.0,5.0,32.4
13 May,0.0,0.0,0.0,0.0,29.3,33.1,26.1,5.3,30.2
14 May,6.6,5.6,6.4,6.6,27.9,29.3,24.8,6.8,40.0
15 May,5.4,5.4,5.4,5.4,29.0,32.5,26.8,6.8,31.3
16 May,19.4,17.2,19.4,19.4,28.4,31.4,23.4,6.9,46.8
17 May,10.6,5.8,6.0,6.0,28.2,30.5,26.3,7.3,37.1
18 May,84.4,34.2,38.0,40.4,26.4,28.8,23.6,5.3,49.3
19 May,25.8,17.8,19.4,19.8,26.9,30.5,23.7,6.8,30.6
20 May,3.8,1.2,2.0,3.4,27.5,31.3,23.8,5.7,25.9
21 May,0.0,0.0,0.0,0.0,28.0,32.2,26.2,4.9,30.2
22 May,0.0,0.0,0.0,0.0,28.8,31.9,26.6,7.4,31.3
23 May,4.0,3.0,3.2,3.6,27.2,30.8,24.7,5.5,37.1
24 May,0.0,0.0,0.0,0.0,28.1,31.6,25.7,8.0,41.8
25 May,0.0,0.0,0.0,0.0,29.2,32.2,27.2,7.5,31.3
26 May,0.0,0.0,0.0,0.0,28.6,31.7,27.2,5.7,25.2
27 May,0.2,0.2,0.2,0.2,27.7,30.2,25.9,6.1,28.4
28 May,2.2,0.8,1.2,1.2,28.6,33.3,26.1,7.6,32.0
29 May,3.0,2.6,3.0,3.0,29.0,32.7,26.1,4.4,27.4
30 May,29.8,10.0,11.2,11.2,27.4,30.7,25.0,5.6,30.6
31 May,1.4,1.0,1.0,1.0,28.4,30.9,25.9,8.4,32.0
1 Apr,0.2,0.2,0.2,0.2,28.3,32.3,26.5,5.6,27.7
2 Apr,0.0,0.0,0.0,0.0,28.8,33.2,26.9,7.0,31.3
3 Apr,0.0,0.0,0.0,0.0,29.1,34.1,27.2,10.4,50.4
4 Apr,1.8,1.0,1.0,1.0,28.1,31.4,25.9,5.0,22.3
5 Apr,72.4,44.2,47.0,47.6,26.1,28.1,23.9,5.3,33.1
6 Apr,0.6,0.6,0.6,0.6,28.2,32.2,25.0,5.7,29.9
7 Apr,0.0,0.0,0.0,0.0,28.6,33.8,25.8,5.8,36.4
8 Apr,0.4,0.2,0.2,0.4,28.0,32.5,25.4,5.6,31.3
9 Apr,0.0,0.0,0.0,0.0,27.9,32.5,25.1,5.1,32.0
10 Apr,0.0,0.0,0.0,0.0,28.0,32.7,26.2,4.5,34.2
11 Apr,1.4,1.4,1.4,1.4,27.7,32.0,24.9,4.7,32.8
12 Apr,2.2,0.8,1.2,1.4,26.8,30.0,23.3,5.1,39.6
13 Apr,1.2,1.2,1.2,1.2,28.0,31.9,25.2,6.1,25.2
14 Apr,60.0,32.0,53.2,60.0,28.0,32.3,23.4,5.4,30.2
15 Apr,0.0,0.0,0.0,0.0,28.3,31.6,25.7,5.4,30.2
16 Apr,0.0,0.0,0.0,0.0,28.5,32.2,26.4,4.7,24.8
17 Apr,17.2,14.2,15.4,15.4,28.3,32.3,26.1,5.3,28.4
18 Apr,72.2,44.6,55.6,68.0,27.4,29.9,24.8,6.6,41.8
