Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
15 Jun,2.2,0.8,0.8,1.0,26.8,28.5,23.2,6.5,47.9
16 Jun,0.0,0.0,0.0,0.0,28.7,32.4,26.5,8.6,36.7
17 Jun,0.0,0.0,0.0,0.0,29.1,32.9,27.9,8.6,31.0
18 Jun,19.0,18.6,18.8,18.8,28.0,30.0,23.5,7.9,33.1
19 Jun,16.2,15.2,16.2,16.2,27.1,29.7,22.8,10.4,43.2
20 Jun,9.4,5.8,6.4,6.8,26.7,29.0,23.1,6.5,34.2
21 Jun,0.0,0.0,0.0,0.0,27.7,30.9,25.4,5.0,28.4
22 Jun,6.8,6.6,6.8,6.8,27.8,31.2,25.6,6.8,47.2
23 Jun,2.4,2.4,2.4,2.4,26.9,28.9,25.1,6.5,33.1
24 Jun,6.2,5.8,6.2,6.2,26.1,28.6,23.3,7.2,28.4
25 Jun,4.0,2.8,3.0,3.6,26.0,28.5,22.9,7.9,37.1
26 Jun,29.8,11.8,20.0,23.2,26.2,27.5,22.6,6.8,28.8
27 Jun,3.6,1.2,1.8,2.0,25.6,27.2,23.8,6.5,38.5
28 Jun,0.0,0.0,0.0,0.0,27.7,31.2,25.6,7.6,33.1
29 Jun,34.2,24.8,28.0,33.0,25.7,27.1,22.5,5.8,36.0
30 Jun,0.0,0.0,0.0,0.0,27.4,30.0,25.9,8.6,26.6
1 May,13.0,10.6,10.8,10.8,26.8,28.6,24.6,4.0,52.2
2 May,2.8,2.6,2.8,2.8,27.9,33.9,24.8,4.0,28.1
3 May,8.0,4.2,6.2,8.0,28.4,33.1,24.2,4.7,31.0
4 May,0.8,0.6,0.6,0.6,28.7,33.6,25.8,5.0,25.6
5 May,0.0,0.0,0.0,0.0,28.6,31.6,26.1,6.8,29.2
6 May,0.0,0.0,0.0,0.0,29.1,32.4,27.7,8.3,27.7
7 May,0.0,0.0,0.0,0.0,29.0,32.4,26.3,7.2,32.8
8 May,0.0,0.0,0.0,0.0,29.4,33.4,27.6,10.8,32.0
9 May,0.0,0.0,0.0,0.0,29.6,33.4,28.0,13.3,44.3
10 May,0.0,0.0,0.0,0.0,29.2,32.3,27.8,10.4,41.8
11 May,0.0,0.0,0.0,0.0,29.3,34.2,28.0,7.9,28.4
12 May,0.0,0.0,0.0,0.0,29.4,34.8,28.0,9.0,34.6
13 May,4.4,2.0,2.0,2.0,28.0,30.7,26.0,6.8,28.1
14 May,3.6,1.8,2.0,2.0,28.2,31.8,24.8,7.2,28.1
15 May,7.0,6.0,6.2,6.4,28.3,33.0,26.2,6.1,31.3
16 May,0.4,0.2,0.2,0.2,27.2,31.4,25.0,5.4,33.1
17 May,0.0,0.0,0.0,0.0,28.5,31.8,26.2,4.7,25.6
18 May,2.2,1.4,1.4,1.4,28.2,32.6,25.0,5.0,33.5
19 May,48.4,26.2,37.4,48.4,27.1,33.3,24.2,4.0,41.0
20 May,17.2,13.6,14.8,15.4,26.4,30.7,23.2,4.3,28.8
21 May,0.0,0.0,0.0,0.0,28.2,31.8,25.9,5.0,23.8
22 May,1.6,1.6,1.6,1.6,28.3,31.5,26.9,5.8,28.1
23 May,11.0,4.6,5.6,9.0,27.0,29.7,24.1,4.7,41.4
24 May,0.2,0.2,0.2,0.2,28.1,32.7,23.8,7.6,34.2
25 May,7.2,6.2,7.2,7.2,28.6,32.9,25.9,6.1,38.2
26 May,69.6,38.0,62.2,67.4,26.9,31.9,23.8,4.7,37.1
27 May,2.0,1.4,2.0,2.0,27.1,31.2,25.1,5.0,25.2
28 May,6.4,4.8,5.4,5.6,27.1,29.4,24.2,6.1,34.2
29 May,0.2,0.2,0.2,0.2,27.8,33.5,25.6,5.0,26.3
30 May,7.2,3.0,4.0,4.0,27.5,32.6,24.6,4.7,31.0
31 May,1.4,1.0,1.0,1.4,27.4,31.3,24.3,4.7,31.3
1 Apr,11.0,5.4,7.6,11.0,27.4,33.3,24.2,5.4,42.8
2 Apr,4.4,4.2,4.2,4.2,28.2,33.8,25.5,5.0,29.9
3 Apr,0.0,0.0,0.0,0.0,28.3,33.8,26.3,6.5,27.4
4 Apr,0.0,0.0,0.0,0.0,28.1,31.9,25.9,7.9,31.3
5 Apr,0.0,0.0,0.0,0.0,28.1,33.7,25.9,7.2,29.5
6 Apr,0.0,0.0,0.0,0.0,28.2,32.6,25.8,6.5,29.2
7 Apr,27.4,11.6,15.0,23.4,27.1,32.5,24.3,6.5,32.4
8 Apr,3.2,3.2,3.2,3.2,27.8,32.4,26.2,6.8,34.2
9 Apr,0.0,0.0,0.0,0.0,28.3,32.0,26.5,7.6,39.6
10 Apr,0.0,0.0,0.0,0.0,28.3,31.8,25.8,8.3,39.6
11 Apr,0.0,0.0,0.0,0.0,28.6,32.2,26.5,7.6,33.1
12 Apr,0.2,0.2,0.2,0.2,29.0,33.3,26.6,6.1,33.8
13 Apr,0.0,0.0,0.0,0.0,29.1,33.3,27.0,6.8,40.3
14 Apr,34.4,24.0,30.2,31.6,27.5,33.6,23.9,4.3,40.0
15 Apr,20.4,12.4,18.4,18.4,26.7,32.5,24.2,4.7,29.2
16 Apr,0.6,0.4,0.4,0.6,26.2,28.5,25.2,4.3,32.0
17 Apr,0.0,0.0,0.0,0.0,27.6,33.5,25.1,4.0,31.3
18 Apr,0.0,0.0,0.0,0.0,28.4,32.8,26.0,5.8,29.5
19 Apr,2.8,2.0,2.2,2.6,27.4,33.0,25.3,4.7,33.1
20 Apr,13.6,5.0,9.2,12.4,27.1,33.0,23.8,5.0,41.4
21 Apr,0.0,0.0,0.0,0.0,27.3,31.9,25.2,4.3,26.3
22 Apr,0.4,0.2,0.2,0.2,28.0,32.3,26.0,4.7,32.8
23 Apr,65.8,38.4,63.0,65.8,27.1,33.7,23.7,4.0,30.6
24 Apr,4.4,3.2,4.2,4.4,27.7,31.1,24.8,5.4,25.6
25 Apr,0.0,0.0,0.0,0.0,29.5,32.7,26.4,6.1,26.6
26 Apr,0.2,0.2,0.2,0.2,28.7,34.2,26.4,6.1,38.9
27 Apr,20.6,11.4,11.8,12.6,26.5,30.9,23.2,5.0,33.5
28 Apr,0.0,0.0,0.0,0.0,28.1,32.6,24.8,6.1,31.3
29 Apr,0.0,0.0,0.0,0.0,29.3,32.2,27.4,9.4,31.3
30 Apr,0.0,0.0,0.0,0.0,29.1,32.8,27.8,10.1,43.6
1 Mar,0.0,0.0,0.0,0.0,27.6,32.6,25.1,5.8,28.4
2 Mar,28.0,22.4,27.6,28.0,27.2,31.9,23.5,5.4,23.8
3 Mar,0.0,0.0,0.0,0.0,27.6,32.7,25.6,6.1,28.4
4 Mar,32.8,31.0,32.4,32.8,27.1,32.2,24.3,5.0,27.0
5 Mar,0.0,0.0,0.0,0.0,28.3,33.1,25.8,6.5,31.0
6 Mar,0.0,0.0,0.0,0.0,28.4,33.4,25.5,5.8,29.9
7 Mar,5.2,3.0,3.4,5.2,26.1,28.3,24.3,5.4,37.8
8 Mar,0.0,0.0,0.0,0.0,26.6,29.6,24.7,6.1,32.4
9 Mar,0.0,0.0,0.0,0.0,28.0,32.0,25.4,7.2,38.5
10 Mar,2.4,0.8,0.8,1.0,27.0,29.5,24.9,8.3,46.8
11 Mar,0.0,0.0,0.0,0.0,27.4,31.3,25.1,7.2,36.0
12 Mar,6.6,6.4,6.6,6.6,27.1,30.5,24.2,6.5,38.9
13 Mar,0.0,0.0,0.0,0.0,27.7,31.9,25.5,6.5,34.9
14 Mar,0.0,0.0,0.0,0.0,28.1,33.1,25.4,5.8,31.0
15 Mar,0.0,0.0,0.0,0.0,28.4,33.6,25.7,6.1,24.1
16 Mar,2.4,2.0,2.2,2.2,27.8,31.4,25.3,7.2,58.7
17 Mar,0.0,0.0,0.0,0.0,28.3,34.3,25.9,7.2,28.8
18 Mar,0.0,0.0,0.0,0.0,28.2,33.1,26.1,7.2,36.0
19 Mar,1.8,1.6,1.8,1.8,28.3,33.4,26.0,6.5,31.3
20 Mar,25.6,24.0,25.2,25.6,27.6,32.3,22.0,7.6,36.4
21 Mar,0.0,0.0,0.0,0.0,27.9,32.8,25.3,5.0,25.9
22 Mar,0.0,0.0,0.0,0.0,28.4,32.7,26.2,7.9,36.7
23 Mar,0.0,0.0,0.0,0.0,28.3,32.2,26.1,6.8,31.7
24 Mar,28.6,23.0,28.4,28.6,27.4,31.9,22.7,6.5,40.7
25 Mar,1.6,1.2,1.2,1.2,26.8,30.1,24.6,4.3,25.6
26 Mar,1.8,1.8,1.8,1.8,27.2,32.1,24.8,4.7,30.6
27 Mar,3.4,1.0,1.6,2.2,24.9,26.7,23.2,6.1,40.7
28 Mar,1.2,1.0,1.2,1.2,26.7,32.3,24.3,4.3,29.9
29 Mar,0.0,0.0,0.0,0.0,26.7,29.7,25.3,5.0,23.4
30 Mar,1.4,1.0,1.4,1.4,26.9,33.4,22.5,4.3,51.1
31 Mar,0.0,0.0,0.0,0.0,28.3,33.0,25.4,5.4,29.5
1 Feb,2.6,1.8,1.8,2.6,27.7,32.0,25.5,7.9,45.7
2 Feb,1.4,0.4,0.6,1.0,25.4,27.1,24.0,6.5,40.3
3 Feb,1.0,1.0,1.0,1.0,26.8,30.6,24.2,8.3,41.4
4 Feb,0.8,0.6,0.6,0.6,26.4,29.5,24.8,8.3,42.8
5 Feb,0.0,0.0,0.0,0.0,26.5,30.1,24.7,9.0,45.7
6 Feb,0.0,0.0,0.0,0.0,26.1,30.4,24.2,9.0,43.6
7 Feb,0.0,0.0,0.0,0.0,25.6,28.3,24.2,8.3,38.2
8 Feb,0.0,0.0,0.0,0.0,26.1,30.5,23.9,8.3,40.0
9 Feb,0.0,0.0,0.0,0.0,26.4,31.4,23.9,7.9,36.4
10 Feb,0.0,0.0,0.0,0.0,26.6,31.0,23.6,7.6,36.4
11 Feb,0.0,0.0,0.0,0.0,26.8,31.3,24.2,7.9,37.4
12 Feb,0.0,0.0,0.0,0.0,27.1,31.8,24.4,9.4,41.4
13 Feb,0.0,0.0,0.0,0.0,26.9,31.8,24.4,7.2,35.3
14 Feb,0.0,0.0,0.0,0.0,26.7,31.5,24.2,7.6,36.7
15 Feb,0.0,0.0,0.0,0.0,27.2,32.4,24.5,6.5,25.6
16 Feb,0.0,0.0,0.0,0.0,27.2,32.3,24.8,6.1,23.8
17 Feb,0.0,0.0,0.0,0.0,27.1,32.9,24.7,7.2,29.2
18 Feb,0.0,0.0,0.0,0.0,27.5,33.8,25.2,6.1,31.0
19 Feb,0.0,0.0,0.0,0.0,27.2,31.5,24.6,7.6,38.9
20 Feb,0.0,0.0,0.0,0.0,27.5,32.9,24.9,7.6,33.5
21 Feb,0.0,0.0,0.0,0.0,27.7,33.1,25.1,7.2,33.5
22 Feb,0.0,0.0,0.0,0.0,27.9,33.7,25.1,6.8,41.4
23 Feb,9.8,4.4,4.8,5.2,26.2,30.4,23.5,6.1,33.8
24 Feb,0.0,0.0,0.0,0.0,25.6,28.9,24.3,6.1,34.9
25 Feb,0.0,0.0,0.0,0.0,26.7,30.0,24.7,6.5,31.7
26 Feb,0.0,0.0,0.0,0.0,27.1,30.4,25.3,7.2,36.4
27 Feb,0.0,0.0,0.0,0.0,27.2,31.9,25.1,7.2,31.0
28 Feb,0.8,0.6,0.8,0.8,27.4,33.2,25.3,6.5,30.2
1 Jan,40.6,16.6,19.0,26.6,24.4,27.1,23.1,4.7,29.2
4 Jan,0.2,0.2,0.2,0.2,26.1,29.4,24.4,5.0,24.5
8 Jan,42.0,14.6,17.6,30.6,26.7,32.1,23.1,4.0,18.7
9 Jan,44.6,33.2,35.0,43.2,26.5,33.2,23.3,5.8,36.4
10 Jan,17.0,2.0,3.6,5.4,24.1,25.9,22.7,5.4,29.9
13 Jan,11.2,1.0,1.8,2.8,22.2,22.8,21.7,9.0,29.2
15 Jan,0.6,0.4,0.6,0.6,24.2,26.9,22.3,7.9,28.4
16 Jan,0.0,0.0,0.0,0.0,25.9,29.8,22.9,6.5,32.0
17 Jan,0.0,0.0,0.0,0.0,27.1,32.4,24.5,6.8,34.6
18 Jan,0.0,0.0,0.0,0.0,27.2,32.2,24.6,6.8,40.3
19 Jan,27.6,22.2,24.4,27.4,26.4,32.8,23.9,5.4,30.2
20 Jan,21.6,15.4,16.0,16.2,26.1,31.4,24.0,4.7,27.4
21 Jan,0.0,0.0,0.0,0.0,27.3,33.0,24.1,6.5,26.6
22 Jan,0.0,0.0,0.0,0.0,27.7,32.3,25.2,5.8,30.2
23 Jan,7.8,4.2,7.2,7.8,26.6,30.6,24.8,5.4,30.6
24 Jan,25.4,7.6,8.2,12.6,26.1,30.8,23.4,5.0,31.7
25 Jan,0.6,0.2,0.2,0.2,26.3,30.6,23.6,5.4,28.8
26 Jan,26.8,13.8,16.0,22.8,25.9,31.8,23.3,5.0,28.8
27 Jan,0.0,0.0,0.0,0.0,27.2,31.8,24.4,5.4,27.0
28 Jan,10.8,8.4,8.4,10.2,26.5,32.9,24.3,5.0,32.8
29 Jan,0.0,0.0,0.0,0.0,27.3,32.6,23.9,7.2,31.7
30 Jan,2.4,2.2,2.4,2.4,27.5,33.5,25.2,6.1,33.5
31 Jan,4.4,3.4,4.2,4.4,27.2,32.4,24.7,6.5,29.5
1 Dec,0.0,0.0,0.0,0.0,28.4,34.0,25.1,6.1,29.5
2 Dec,0.0,0.0,0.0,0.0,29.1,34.0,25.5,5.0,28.8
3 Dec,0.0,0.0,0.0,0.0,28.9,32.9,26.7,4.7,22.7
4 Dec,1.4,1.2,1.2,1.2,27.9,33.6,26.2,4.3,26.3
5 Dec,0.6,0.6,0.6,0.6,28.3,32.7,25.9,5.0,25.9
6 Dec,4.6,4.0,4.4,4.4,28.2,34.3,24.7,5.4,24.1
7 Dec,1.6,0.6,1.0,1.4,27.2,32.0,25.0,5.0,23.8
8 Dec,0.0,0.0,0.0,0.0,26.7,29.8,25.1,7.2,36.0
9 Dec,0.0,0.0,0.0,0.0,25.8,27.8,24.4,5.8,35.6
10 Dec,4.4,4.2,4.2,4.2,27.3,33.5,25.0,5.8,37.4
11 Dec,8.4,4.2,4.2,4.2,26.8,32.7,24.8,5.4,29.9
12 Dec,7.8,3.4,4.4,4.4,26.0,31.1,23.9,5.0,27.4
13 Dec,5.0,2.2,2.4,4.4,26.5,32.3,24.0,4.7,23.4
14 Dec,0.2,0.2,0.2,0.2,27.4,31.9,25.0,5.0,27.0
15 Dec,20.2,16.4,18.8,20.2,26.9,32.6,24.0,5.0,28.1
16 Dec,21.8,20.6,21.8,21.8,27.1,30.7,23.9,5.4,42.8
17 Dec,0.0,0.0,0.0,0.0,27.4,32.5,24.8,7.9,49.3
18 Dec,0.0,0.0,0.0,0.0,27.4,31.0,25.5,8.6,44.3
19 Dec,0.8,0.6,0.8,0.8,26.2,30.5,24.5,7.9,41.4
20 Dec,0.0,0.0,0.0,0.0,26.8,31.4,24.5,7.9,40.7
21 Dec,0.0,0.0,0.0,0.0,27.5,32.1,25.0,7.9,38.5
22 Dec,21.0,6.4,6.4,10.6,27.3,33.0,23.6,6.5,36.0
23 Dec,11.2,7.4,8.2,8.8,26.9,31.1,23.0,7.9,34.2
24 Dec,0.0,0.0,0.0,0.0,26.1,28.0,24.9,7.6,31.3
25 Dec,7.0,5.0,5.4,5.4,26.9,32.3,24.4,5.4,31.0
26 Dec,5.2,5.2,5.2,5.2,26.9,32.2,23.4,5.0,27.7
27 Dec,3.4,2.6,3.0,3.2,26.6,31.6,23.6,4.7,30.6
28 Dec,6.8,5.0,6.8,6.8,26.8,32.4,24.4,5.4,28.8
29 Dec,0.2,0.2,0.2,0.2,27.6,31.5,25.6,7.2,38.5
30 Dec,23.8,14.6,14.6,14.6,26.4,29.6,24.4,6.5,37.4
31 Dec,66.6,25.4,34.4,39.6,24.5,25.5,23.6,5.8,34.9
1 Nov,0.2,0.2,0.2,0.2,27.6,32.3,25.2,3.6,22.0
2 Nov,0.0,0.0,0.0,0.0,27.8,31.5,26.0,4.3,27.7
3 Nov,6.8,3.0,3.2,4.0,27.7,31.9,24.3,6.5,42.5
4 Nov,5.6,1.2,1.4,1.6,26.9,31.6,24.1,5.8,41.0
5 Nov,1.2,0.4,0.6,0.8,28.0,32.2,24.6,6.8,36.7
6 Nov,51.4,30.4,34.2,37.6,27.1,31.7,22.5,4.0,37.4
7 Nov,3.2,1.6,2.6,2.8,26.7,29.1,25.2,3.2,23.8
8 Nov,3.8,3.4,3.6,3.6,26.6,29.8,23.5,7.2,28.1
9 Nov,25.0,11.6,20.0,21.6,26.5,32.9,23.5,5.8,43.2
10 Nov,7.0,1.8,2.4,4.4,25.8,31.7,23.5,4.7,26.3
11 Nov,11.4,10.0,10.4,10.4,26.0,28.7,24.6,3.6,32.4
12 Nov,14.8,7.2,10.4,13.0,27.1,30.7,25.1,5.0,28.1
13 Nov,2.0,1.0,1.4,1.4,27.6,33.4,24.4,5.8,40.7
14 Nov,53.8,25.2,35.8,43.6,25.4,27.5,22.7,5.8,27.7
15 Nov,0.0,0.0,0.0,0.0,27.3,31.3,24.8,5.0,27.4
16 Nov,0.0,0.0,0.0,0.0,28.4,33.9,25.8,4.7,29.9
17 Nov,13.4,12.6,13.2,13.4,26.9,30.1,23.4,6.1,43.6
18 Nov,0.2,0.2,0.2,0.2,27.7,32.7,25.5,5.0,45.4
19 Nov,0.0,0.0,0.0,0.0,28.3,32.0,26.1,4.3,22.7
20 Nov,1.0,0.6,0.6,1.0,27.4,30.8,25.9,5.0,24.5
21 Nov,3.6,1.0,1.8,3.0,26.0,28.3,23.2,4.0,42.5
22 Nov,31.6,19.2,31.0,31.6,27.1,33.1,23.3,4.3,46.1
23 Nov,4.2,2.0,3.2,4.0,26.2,30.2,24.0,4.7,28.4
24 Nov,0.8,0.6,0.8,0.8,26.0,30.3,23.9,6.5,32.4
25 Nov,39.4,34.0,39.2,39.2,26.6,32.9,24.5,5.8,32.4
26 Nov,1.0,1.0,1.0,1.0,26.4,30.9,25.1,5.4,29.5
29 Nov,2.8,1.4,2.0,2.4,26.6,29.5,24.3,11.2,40.0
30 Nov,0.6,0.6,0.6,0.6,27.3,30.2,24.7,13.7,47.5
1 Oct,7.4,5.2,5.2,5.2,26.9,29.6,25.0,4.7,41.4
2 Oct,0.0,0.0,0.0,0.0,27.7,32.3,24.4,5.0,29.5
3 Oct,9.2,8.4,8.8,9.2,27.4,31.9,25.6,4.3,32.0
4 Oct,1.4,0.8,1.4,1.4,25.7,28.2,23.5,6.5,29.9
5 Oct,0.2,0.2,0.2,0.2,27.4,32.1,24.5,5.8,24.1
6 Oct,29.0,15.6,18.0,26.8,28.0,32.6,24.4,5.8,29.5
7 Oct,10.2,7.8,8.0,8.0,27.3,33.2,24.6,5.0,34.2
8 Oct,24.4,12.6,13.4,13.4,26.8,31.4,24.3,5.4,27.0
9 Oct,18.6,13.6,15.6,18.4,27.8,32.5,24.1,6.5,30.6
10 Oct,8.8,3.4,4.4,4.6,27.4,31.5,24.1,7.6,32.4
11 Oct,4.8,4.2,4.6,4.6,27.8,32.3,22.8,6.5,35.6
12 Oct,39.4,16.0,18.6,20.2,26.8,29.0,23.2,5.4,29.5
13 Oct,1.2,0.4,0.6,0.8,27.0,30.9,23.9,5.0,30.6
14 Oct,0.0,0.0,0.0,0.0,29.1,32.3,26.8,5.8,29.5
15 Oct,0.0,0.0,0.0,0.0,30.0,34.2,27.2,4.3,24.1
16 Oct,0.0,0.0,0.0,0.0,28.6,32.4,26.2,6.1,38.2
17 Oct,0.0,0.0,0.0,0.0,29.9,34.2,27.4,6.8,28.1
18 Oct,0.0,0.0,0.0,0.0,30.2,34.3,27.6,6.1,29.9
19 Oct,0.0,0.0,0.0,0.0,30.0,33.3,27.7,4.7,22.3
20 Oct,0.0,0.0,0.0,0.0,29.8,33.9,27.1,5.0,27.4
21 Oct,18.4,18.4,18.4,18.4,29.4,34.0,24.7,5.4,32.8
22 Oct,0.0,0.0,0.0,0.0,28.5,31.0,26.4,6.8,33.8
23 Oct,1.4,0.6,0.8,1.4,28.3,30.9,25.1,5.0,28.8
24 Oct,0.0,0.0,0.0,0.0,28.0,30.4,26.7,4.0,25.6
25 Oct,0.8,0.6,0.6,0.6,28.1,33.7,25.7,4.0,34.2
26 Oct,0.0,0.0,0.0,0.0,28.0,31.9,26.2,5.4,31.7
27 Oct,8.6,7.2,7.2,8.6,27.5,30.1,25.4,4.0,21.2
28 Oct,0.0,0.0,0.0,0.0,28.6,33.1,25.6,6.5,37.1
29 Oct,1.0,1.0,1.0,1.0,26.8,31.0,25.5,4.3,25.9
30 Oct,59.4,35.0,52.0,55.4,26.4,29.2,24.0,4.7,33.5
31 Oct,0.8,0.8,0.8,0.8,25.9,27.7,23.3,5.0,41.8
1 Sep,0.0,0.0,0.0,0.0,28.4,31.2,26.9,10.8,32.0
2 Sep,0.0,0.0,0.0,0.0,28.8,32.6,27.0,11.2,35.6
3 Sep,0.0,0.0,0.0,0.0,28.6,31.6,27.1,13.0,40.0
4 Sep,0.0,0.0,0.0,0.0,28.4,31.6,27.1,8.3,32.8
5 Sep,8.4,8.2,8.2,8.2,28.2,31.0,24.9,9.0,40.0
6 Sep,11.4,8.6,8.6,8.6,26.8,28.9,24.5,6.5,47.2
7 Sep,0.2,0.2,0.2,0.2,28.1,32.6,25.5,6.8,27.7
8 Sep,0.2,0.2,0.2,0.2,27.6,31.9,25.6,9.0,38.5
9 Sep,1.6,1.6,1.6,1.6,27.7,32.4,24.4,5.8,34.9
10 Sep,4.2,3.8,3.8,3.8,27.6,30.4,25.2,6.1,47.2
11 Sep,15.0,12.0,12.0,12.4,26.6,30.5,23.4,4.7,33.5
12 Sep,0.0,0.0,0.0,0.0,28.6,32.5,25.9,6.5,24.1
13 Sep,0.0,0.0,0.0,0.0,29.0,33.2,27.3,9.0,28.4
14 Sep,0.0,0.0,0.0,0.0,28.2,31.2,27.2,8.3,32.0
15 Sep,26.0,19.8,21.0,21.0,27.2,29.2,24.1,5.0,45.0
16 Sep,10.0,7.8,9.0,9.2,27.1,30.4,23.7,7.2,30.6
17 Sep,4.6,4.0,4.2,4.4,28.1,33.0,24.4,10.1,43.2
21 Sep,8.4,2.4,3.4,6.0,26.3,30.0,23.3,6.5,45.4
22 Sep,0.4,0.4,0.4,0.4,28.5,32.4,26.8,7.9,40.7
23 Sep,5.0,5.0,5.0,5.0,28.6,32.4,26.2,9.0,37.8
24 Sep,7.2,5.6,6.8,7.2,27.6,31.3,23.4,7.6,39.2
25 Sep,0.0,0.0,0.0,0.0,28.8,32.1,27.1,7.9,28.8
26 Sep,14.4,12.0,13.0,13.0,27.4,32.1,23.0,5.8,36.0
27 Sep,0.2,0.2,0.2,0.2,27.6,32.1,25.4,4.0,27.0
28 Sep,0.0,0.0,0.0,0.0,28.6,32.9,26.6,5.0,26.6
29 Sep,11.6,8.0,10.0,10.4,27.4,30.8,23.3,5.0,40.0
30 Sep,0.2,0.2,0.2,0.2,27.4,29.8,25.4,6.1,38.2
5 Aug,0.6,0.6,0.6,0.6,28.6,31.5,27.1,11.9,36.4
6 Aug,11.6,5.4,5.4,10.4,28.1,32.4,25.0,9.4,39.2
7 Aug,0.2,0.2,0.2,0.2,27.9,29.5,27.0,9.4,37.4
8 Aug,1.0,1.0,1.0,1.0,27.2,30.1,25.6,7.9,46.4
9 Aug,1.4,1.0,1.2,1.2,27.1,30.2,24.5,8.6,42.5
10 Aug,0.0,0.0,0.0,0.0,28.1,31.3,26.1,6.5,32.4
11 Aug,43.6,30.4,35.2,35.2,26.5,28.3,22.5,5.4,43.9
12 Aug,3.2,1.4,1.4,1.4,26.0,29.4,23.8,5.0,37.8
13 Aug,1.2,1.0,1.0,1.0,26.6,28.6,25.4,6.1,24.8
14 Aug,0.0,0.0,0.0,0.0,27.7,30.5,25.9,7.9,35.3
15 Aug,1.6,1.6,1.6,1.6,26.6,28.5,23.5,6.1,42.1
16 Aug,0.0,0.0,0.0,0.0,27.8,32.0,25.8,6.5,25.6
17 Aug,27.8,13.8,17.0,21.0,26.6,31.3,23.0,10.1,40.3
18 Aug,24.5,20.0,20.0,20.0,27.3,30.9,24.8,7.9,33.5
19 Aug,17.5,17.5,17.5,17.5,27.9,32.5,25.5,10.4,40.0
20 Aug,0.5,0.5,0.5,0.5,28.3,31.5,26.9,10.4,30.2
21 Aug,4.5,3.5,3.5,3.5,28.3,32.3,25.7,8.6,39.2
22 Aug,0.0,0.0,0.0,0.0,27.0,28.8,25.4,10.1,36.0
23 Aug,0.0,0.0,0.0,0.0,28.3,31.6,27.0,10.1,44.6
24 Aug,0.0,0.0,0.0,0.0,28.4,31.0,27.1,9.4,36.7
25 Aug,0.0,0.0,0.0,0.0,28.0,30.8,25.9,9.4,36.7
26 Aug,0.0,0.0,0.0,0.0,28.4,32.4,26.8,9.4,32.0
27 Aug,20.8,19.0,20.2,20.4,27.0,30.2,23.3,9.0,51.8
28 Aug,2.6,2.6,2.6,2.6,27.8,30.2,25.5,7.9,32.4
29 Aug,0.6,0.4,0.6,0.6,26.6,29.7,24.7,6.1,31.3
30 Aug,0.0,0.0,0.0,0.0,27.7,31.6,25.6,5.8,26.3
31 Aug,0.0,0.0,0.0,0.0,28.6,32.3,27.0,10.1,34.9
1 Jun,6.8,2.4,4.2,5.8,27.4,31.8,24.0,6.8,29.5
2 Jun,0.0,0.0,0.0,0.0,28.7,33.4,27.3,7.9,25.2
3 Jun,0.0,0.0,0.0,0.0,29.4,33.2,27.6,8.3,32.4
4 Jun,0.0,0.0,0.0,0.0,29.7,33.0,28.0,9.7,36.7
5 Jun,0.0,0.0,0.0,0.0,29.5,32.4,27.9,9.0,30.6
6 Jun,0.0,0.0,0.0,0.0,29.4,33.2,27.9,9.0,32.4
7 Jun,0.0,0.0,0.0,0.0,29.4,33.6,27.6,9.7,31.0
8 Jun,0.2,0.2,0.2,0.2,29.2,33.2,27.8,11.5,31.3
9 Jun,0.0,0.0,0.0,0.0,29.4,33.1,27.7,10.1,31.3
10 Jun,13.2,9.0,9.0,9.2,28.1,32.8,24.0,8.3,44.3
11 Jun,0.0,0.0,0.0,0.0,27.6,31.1,24.9,7.9,36.4
12 Jun,0.0,0.0,0.0,0.0,29.0,32.6,27.5,7.9,27.7
13 Jun,0.0,0.0,0.0,0.0,29.1,32.6,26.9,9.0,32.4
14 Jun,27.2,17.8,26.6,27.0,27.7,31.1,23.3,6.5,43.9
15 Jun,0.0,0.0,0.0,0.0,29.0,33.4,26.5,6.8,30.6
16 Jun,0.2,0.2,0.2,0.2,28.4,30.9,25.7,6.5,29.2
17 Jun,0.0,0.0,0.0,0.0,29.1,33.1,26.8,7.2,27.4
18 Jun,29.0,15.0,17.0,21.0,26.6,29.9,23.1,6.5,65.5
19 Jun,0.0,0.0,0.0,0.0,27.6,30.6,24.3,9.0,36.0
20 Jun,0.0,0.0,0.0,0.0,29.0,32.8,26.2,5.8,26.3
21 Jun,0.0,0.0,0.0,0.0,28.5,31.1,27.0,7.9,30.2
22 Jun,0.0,0.0,0.0,0.0,28.7,31.2,27.5,7.2,29.2
23 Jun,23.6,23.4,23.4,23.4,26.6,29.0,21.8,6.8,67.7
24 Jun,0.0,0.0,0.0,0.0,28.3,31.2,25.9,6.5,27.0
25 Jun,25.4,19.0,24.4,25.2,27.1,28.9,23.2,5.0,45.4
6 May,3.8,2.4,2.4,2.4,28.1,31.6,25.0,5.8,36.0
7 May,0.0,0.0,0.0,0.0,28.2,30.8,25.9,4.3,30.2
8 May,0.0,0.0,0.0,0.0,28.3,32.1,25.6,6.5,37.1
